path	bytes	sha256	role
source_data/functional/clr_200_KO.tsv.gz	51827	a1351bb19840206ec1b2843de3ccf3c242627dcebc7dffc1fa54be4e664cdf3c	Fixed 200-KO CLR input and sample/feature order for the matched network analysis
source_data/functional/tables/082A_KEGG_ko_abundance_samples_x_functions.tsv.gz	786428	9b99bdcb627abcdb10f12ce622e8375f439e569317e0fc99a5013c34ccce35f0	Primary KO/PFAM count matrix; retained instead of the full annotated abundance catalogue
source_data/functional/tables/082A_PFAM_abundance_samples_x_functions.tsv.gz	1008849	55416c0454b3e8440c749bc127918e8f7948446e2d20a1d22b65ae06ee3ca6ba	Primary KO/PFAM count matrix; retained instead of the full annotated abundance catalogue
source_data/indices/003b_run_summary.tsv	191	d87374a4b75b6529014ff70a0e83c69176f868572423bc7f5b94e73ff0084f5b	Required provenance/sample-order control consumed by the unchanged 601b gene-CLR producer
source_data/indices/202_metadata_raw1031_alineada.csv	3120	8232edd8008922d26f289ee8db9e273255bd3c1b360baf277fbe5430fac06993	Required provenance/sample-order control consumed by the unchanged 601b gene-CLR producer
source_data/indices/MHI_calibration_57.csv	38270	ef48c2052d985b08893457dfb6f0249e1b0d209cda10aae3a1a749c4e23c413e	Integrated metadata or fixed historical HI/MHI calibration input
source_data/indices/convergence808_historical_metadata.csv	45872	a060a89f3788c1ab95d4553098c70b7dd3972a2b6ec5816b2c10510580ae3e51	Historical restoration-label verification required by the 808 sensitivity script
source_data/indices/historical_CLR.csv	1644906	e3a96cef362757833ecf2897473c200f6c1539d393347e8dfd32919328972787	Integrated metadata or fixed historical HI/MHI calibration input
source_data/indices/historical_HI.csv	68154	46fd2f69084ee97790ad8e904ab2291525ac4c7baaf84f9e1a8903883810acc9	Integrated metadata or fixed historical HI/MHI calibration input
source_data/indices/historical_metadata.csv	61188	5d6d39297f88d0c57bca2bad7fe070992c9cf0aec79ac8f98d78c51dd3241cb0	Integrated metadata or fixed historical HI/MHI calibration input
source_data/indices/metadata_003b.csv	44937	d9fb0bef5be343d76cdf0bd4ef5b4c7059386e9102e3a670dd67b34a1b3aaf1b	Integrated metadata or fixed historical HI/MHI calibration input
