Original_Taxon_ID,CC1_1,CC1_2,CC1_3,CC2_1,CC2_2,CC2_3,CC3_1,CC3_2,CC3_3,CC4_1,CC4_2,CC4_3,CC5_1,CC5_2,CC5_3,CC6_1,CC6_2,CC6_3,CC7_1,CC7_2,CC7_3,CZ1_1,CZ1_2,CZ1_3,CZ2_1,CZ2_2,CZ2_3,CZ3_1,CZ3_2,CZ3_3,CZ4_1,CZ4_2,CZ4_3,CZ5_1,CZ5_2,CZ5_3,CZ6_1,CZ6_2,CZ6_3,TX1_1,TX1_2,TX1_3,TX2_1,TX2_2,TX2_3,TX3_1,TX3_2,TX3_3,TX4_1,TX4_2,TX4_3,TX5_1,TX5_2,TX5_3,TX6_1,TX6_2,TX6_3
2903690,-1.5696137793691833,-4.0886324382629216,-3.821368990261859,-1.5513307985111537,-3.6575793473588254,-3.773666980929165,-3.887714142598658,-1.4853546724584472,-3.5933912250967657,-1.0778460461042232,-3.8491983017119464,-3.920321648498572,-1.2936145887392865,-3.8422320958236877,-1.2406717117393495,-4.05483550924853,-4.047545659725186,-3.996465119570962,-1.1264092029625568,-1.2005006832617395,-3.7952960204201664,-3.961629590853122,-1.3413233967667955,-4.178627811421473,-3.8699553938116185,-3.8934071731605764,-1.6709983665729466,-3.5102402500566647,-3.658656561850897,-2.02265684160591,-3.5393620609755394,-3.9448635902999616,-1.3808478110641946,-3.94600785757259,-3.7869182283693243,-3.945800944517705,-3.803175317332364,-3.817616356011935,-3.985947369244471,-1.3500721032301612,-1.3679079961419247,-1.4220245546546675,-4.084082986955226,-1.5059531903682477,-1.2688954510349255,-1.3385939965579108,-4.030503849346772,-1.0463681232408817,-1.3737937194636003,-3.6590625289444896,-4.080547801374156,-1.4236103161057057,-1.4463944600109087,-1.826362213866859,-3.911166019413004,-3.763674598167558,-1.9961259092205241
2592815,-1.361974414590939,-4.0886324382629216,-3.821368990261859,-1.417799405886631,-3.6575793473588254,-3.773666980929165,-3.887714142598658,-1.4853546724584472,-3.5933912250967657,-1.1870453380692152,-3.8491983017119464,-3.920321648498572,-1.0059325162875052,-3.8422320958236877,-3.8056210692008863,-4.05483550924853,-4.047545659725186,-1.4315157621094254,-0.9257385075004056,-1.4583297925638394,-3.7952960204201664,-1.1284162467969057,-1.2723305252798438,-1.2882560535253083,-1.4720601210132478,-3.8934071731605764,-1.2114660371945067,-3.5102402500566647,-3.658656561850897,-2.02265684160591,-1.054455411187539,-1.054491832403797,-1.3808478110641946,-1.5481125847742194,-3.7869182283693243,-1.0554291866215406,-3.803175317332364,-1.1785590263966768,-1.2133586470046898,-3.8349787530181616,-1.3033694750043536,-1.119743682781734,-1.5191336294936897,-0.8128060098083023,-1.5742771005861074,-1.2696011250709591,-1.322453648244562,-3.818956845480663,-1.0373214828423873,-3.6590625289444896,-1.3724976002719456,-1.3748201519362735,-1.3032936163702353,-1.5852001570499712,-1.346216661951467,-3.763674598167558,-1.9961259092205241
2975750,-4.13456313683072,-1.5236830808013848,-3.821368990261859,-1.417799405886631,-3.6575793473588254,-3.773666980929165,-3.887714142598658,-1.4853546724584472,-3.5933912250967657,-1.1870453380692152,-1.4513030289135758,-3.920321648498572,-1.6190369891739143,-3.8422320958236877,-3.8056210692008863,-4.05483550924853,-1.5626390099371856,-3.996465119570962,-1.9373394191788855,-1.2470206988966326,-3.7952960204201664,-3.961629590853122,-1.4954740765940535,-1.4705776103192627,-3.8699553938116185,-3.8934071731605764,-4.155905016360947,-3.5102402500566647,-3.658656561850897,-2.02265684160591,-3.5393620609755394,-3.9448635902999616,-3.9457971685257314,-3.94600785757259,-1.302011578581324,-3.945800944517705,-3.803175317332364,-3.817616356011935,-3.985947369244471,-3.8349787530181616,-1.1855864393479703,-1.7703312489228833,-4.084082986955226,-1.431845218214526,-1.7284277804133654,-3.977651326173169,-1.5455971995587716,-3.818956845480663,-1.8846193432295908,-3.6590625289444896,-1.5155984439126189,-1.4749036104932562,-4.011343817472445,-1.2798185074987893,-3.911166019413004,-3.763674598167558,-1.9961259092205241
2975913,-1.6496564870427197,-4.0886324382629216,-3.821368990261859,-4.190388128126412,-3.6575793473588254,-3.773666980929165,-3.887714142598658,-1.4853546724584472,-3.5933912250967657,-1.500702896924257,-3.8491983017119464,-3.920321648498572,-1.7860910738370803,-3.8422320958236877,-3.8056210692008863,-4.05483550924853,-4.047545659725186,-3.996465119570962,-1.4778070898004456,-1.5189544143802745,-3.7952960204201664,-3.961629590853122,-3.980380726382054,-4.178627811421473,-3.8699553938116185,-3.8934071731605764,-1.6709983665729466,-3.5102402500566647,-3.658656561850897,-2.02265684160591,-3.5393620609755394,-3.9448635902999616,-3.9457971685257314,-3.94600785757259,-1.3890229555709537,-3.945800944517705,-3.803175317332364,-3.817616356011935,-3.985947369244471,-3.8349787530181616,-1.1315192180776945,-4.255237898710884,-1.445025657339968,-4.0709025478297844,-1.5052842290991557,-3.977651326173169,-1.4655544918852352,-1.1798995158654044,-1.8846193432295908,-3.6590625289444896,-4.080547801374156,-1.8543932321981598,-4.011343817472445,-1.5852001570499712,-3.911166019413004,-1.2787679483795578,-1.9961259092205241
2903796,-4.13456313683072,-4.0886324382629216,-3.821368990261859,-1.3000163702302476,-3.6575793473588254,-3.773666980929165,-3.887714142598658,-1.4853546724584472,-3.5933912250967657,-1.0778460461042232,-3.8491983017119464,-3.920321648498572,-1.3507730025792348,-3.8422320958236877,-3.8056210692008863,-1.1644637513523657,-4.047545659725186,-3.996465119570962,-1.7831887393516275,-4.291543136620056,-3.7952960204201664,-3.961629590853122,-3.980380726382054,-4.178627811421473,-3.8699553938116185,-3.8934071731605764,-1.5168476867456886,-3.5102402500566647,-3.658656561850897,-2.02265684160591,-3.5393620609755394,-3.9448635902999616,-1.3808478110641946,-3.94600785757259,-3.7869182283693243,-1.3067436149024467,-3.803175317332364,-3.817616356011935,-3.985947369244471,-3.8349787530181616,-4.075958197244135,-4.255237898710884,-1.599176337167226,-1.2983138255900033,-1.7284277804133654,-1.3385939965579108,-1.5455971995587716,-3.818956845480663,-1.4250870138511509,-1.261167256146119,-4.080547801374156,-1.528970831763532,-1.526437167684445,-4.22425748666523,-3.911166019413004,-3.763674598167558,-1.9961259092205241
2106,-1.361974414590939,-4.0886324382629216,-3.821368990261859,-4.190388128126412,-3.6575793473588254,-3.773666980929165,-1.4898188698002874,-1.4853546724584472,-3.5933912250967657,-1.806084546475439,-3.8491983017119464,-3.920321648498572,-4.183986346635451,-3.8422320958236877,-1.320714419412886,-4.05483550924853,-1.4084883301099276,-3.996465119570962,-1.6496573467271047,-1.6524858070047972,-1.2303466629586297,-1.396680233391585,-3.980380726382054,-4.178627811421473,-1.385048744023618,-3.8934071731605764,-1.3833162941211659,-3.5102402500566647,-3.658656561850897,-2.02265684160591,-3.5393620609755394,-3.9448635902999616,-3.9457971685257314,-3.94600785757259,-3.7869182283693243,-3.945800944517705,-3.803175317332364,-3.817616356011935,-3.985947369244471,-3.8349787530181616,-1.511008839782598,-4.255237898710884,-4.084082986955226,-4.0709025478297844,-1.5742771005861074,-3.977651326173169,-4.030503849346772,-3.818956845480663,-1.3250035552941681,-3.6590625289444896,-1.3079590791343745,-4.4193425896596965,-1.526437167684445,-4.22425748666523,-3.911166019413004,-1.3657793253691874,-1.9961259092205241
57705,-4.13456313683072,-4.0886324382629216,-3.821368990261859,-1.5513307985111537,-3.6575793473588254,-3.773666980929165,-3.887714142598658,-1.4853546724584472,-3.5933912250967657,-1.6725531538509162,-3.8491983017119464,-3.920321648498572,-1.6990796968474506,-3.8422320958236877,-3.8056210692008863,-4.05483550924853,-4.047545659725186,-3.996465119570962,-1.3777236312434629,-1.893647863821685,-3.7952960204201664,-3.961629590853122,-3.980380726382054,-1.3454144673652566,-1.4720601210132478,-3.8934071731605764,-4.155905016360947,-3.5102402500566647,-3.658656561850897,-2.02265684160591,-3.5393620609755394,-1.1722748680601804,-1.460890518737731,-1.23795765647038,-3.7869182283693243,-3.945800944517705,-3.803175317332364,-3.817616356011935,-3.985947369244471,-3.8349787530181616,-4.075958197244135,-4.255237898710884,-4.084082986955226,-4.0709025478297844,-1.3801210861451496,-1.3385939965579108,-1.6326085765484013,-3.818956845480663,-1.59693727077781,-3.6590625289444896,-1.3724976002719456,-2.021447316861326,-4.011343817472445,-1.7393508368772292,-3.911166019413004,-3.763674598167558,-1.9961259092205241
1529069,-1.090040699107297,-0.8305359002414394,-0.8769300110954186,-1.1946558545724213,-0.9495291462566153,-1.2087176234676282,-1.115125420358877,-1.4853546724584472,-0.7601778810405495,-1.1870453380692152,-0.8046758639885234,-0.7422678181506264,-4.183986346635451,-3.8422320958236877,-1.320714419412886,-0.7226309990733264,-0.9565032063668699,-0.8609709036418125,-4.422246068966886,-1.3471041574536153,-1.0872458193179564,-3.961629590853122,-3.980380726382054,-4.178627811421473,-1.1619051927094084,-1.408500523372576,-1.7580097435625763,-0.8711829204414063,-3.658656561850897,-2.02265684160591,-1.054455411187539,-3.9448635902999616,-3.9457971685257314,-3.94600785757259,-1.147860898754066,-1.173212222277924,-0.7586528796089409,-3.817616356011935,-1.0955756113483064,-1.1269285519159515,-4.075958197244135,-4.255237898710884,-4.084082986955226,-4.0709025478297844,-4.213334430201366,-3.977651326173169,-4.030503849346772,-1.1798995158654044,-1.59693727077781,-1.1741558791564892,-4.080547801374156,-4.4193425896596965,-1.6134485446740747,-1.1332150333069135,-1.0207942615168393,-1.1246172685522997,-1.9961259092205241
2059875,-1.5696137793691833,-4.0886324382629216,-3.821368990261859,-1.3000163702302476,-1.2596840745604547,-3.773666980929165,-1.179663941496448,-1.4853546724584472,-3.5933912250967657,-1.500702896924257,-3.8491983017119464,-3.920321648498572,-1.2936145887392865,-0.8977931166572475,-3.8056210692008863,-4.05483550924853,-1.4825963022636492,-1.2884149184687521,-1.3312036156085698,-1.893647863821685,-3.7952960204201664,-3.961629590853122,-3.980380726382054,-1.4060390891816916,-1.4720601210132478,-3.8934071731605764,-1.3833162941211659,-3.5102402500566647,-3.658656561850897,-2.02265684160591,-3.5393620609755394,-1.4599569405119612,-0.9500648949717405,-3.94600785757259,-3.7869182283693243,-1.3067436149024467,-3.803175317332364,-3.817616356011935,-3.985947369244471,-3.8349787530181616,-1.1315192180776945,-1.4220245546546675,-4.084082986955226,-4.0709025478297844,-1.217602156647375,-3.977651326173169,-1.1972905052905558,-3.818956845480663,-1.0373214828423873,-1.261167256146119,-4.080547801374156,-1.5861292456034803,-1.4463944600109087,-1.3910441426090134,-1.5132707466146331,-3.763674598167558,-1.9961259092205241
2878098,-1.7366678640323494,-4.0886324382629216,-3.821368990261859,-4.190388128126412,-3.6575793473588254,-3.773666980929165,-1.4028074928106578,-1.4853546724584472,-3.5933912250967657,-1.806084546475439,-3.8491983017119464,-3.920321648498572,-1.6190369891739143,-3.8422320958236877,-3.8056210692008863,-4.05483550924853,-4.047545659725186,-3.996465119570962,-1.5318743110707214,-1.5834929355178455,-1.0872458193179564,-3.961629590853122,-1.4154313689205171,-1.780732538623102,-3.8699553938116185,-3.8934071731605764,-4.155905016360947,-3.5102402500566647,-3.658656561850897,-2.02265684160591,-3.5393620609755394,-3.9448635902999616,-3.9457971685257314,-3.94600785757259,-3.7869182283693243,-3.945800944517705,-1.4052800445339932,-1.2526669985503984,-3.985947369244471,-3.8349787530181616,-1.3679079961419247,-1.7703312489228833,-1.2508696428990103,-4.0709025478297844,-1.3229626723052013,-3.977651326173169,-1.322453648244562,-3.818956845480663,-1.278483539659275,-3.6590625289444896,-4.080547801374156,-1.780285260044438,-4.011343817472445,-4.22425748666523,-3.911166019413004,-3.763674598167558,-1.9961259092205241
